idx,rxn_smiles,dE0,dHrxn298
0,[H]C([H])([H])c1nnon1>>[H]C([H])([H])C(N=O)=[N+]=[N-],48.61085,26.77621
0,[H]C([H])([H])C(N=O)=[N+]=[N-]>>[H]C([H])([H])c1nnon1,21.83464,-26.77621
1,[H]C([H])([H])c1nnon1>>[H]C([H])([H])N=C=NN=O,74.0298,28.79099
1,[H]C([H])([H])N=C=NN=O>>[H]C([H])([H])c1nnon1,45.238809999999994,-28.79099
2,[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C1([H])OC([H])([H])C1([H])[H].[H]O[H],97.422,12.6022
2,[H]C1([H])OC([H])([H])C1([H])[H].[H]O[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],84.8198,-12.6022
3,[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C1([H])OC1([H])[H].[H]OC([H])([H])[H],75.25375,28.98589
3,[H]C1([H])OC1([H])[H].[H]OC([H])([H])[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],46.26786,-28.98589
4,[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C(=O)C([H])([H])[H].[H]OC([H])([H])[H],72.16356,1.41779
4,[H]C(=O)C([H])([H])[H].[H]OC([H])([H])[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],70.74577000000001,-1.41779
6,[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C([H])=C([H])OC([H])([H])[H].[H]O[H],71.0891,8.33039
6,[H]C([H])=C([H])OC([H])([H])[H].[H]O[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],62.75871,-8.33039
7,[H]C(=O)N=[N+]=[N-]>>[H]C#N.[N-]=[N+]=O,48.52271,9.02973
7,[H]C#N.[N-]=[N+]=O>>[H]C(=O)N=[N+]=[N-],39.492979999999996,-9.02973
8,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C1([H])[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],73.6466,53.58964
8,[H]C1([H])[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],20.056960000000004,-53.58964
9,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H],62.05624,7.47231
9,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],54.58393,-7.47231
10,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H].[H][H],110.46106,23.57159
10,[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H].[H][H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],86.88947,-23.57159
11,[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C([H])([H])C([H])([H])C1([H])C([H])([H])[C]C1([H])[H],81.42548000000001,78.73379
11,[H]C([H])([H])C([H])([H])C1([H])C([H])([H])[C]C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],2.6916900000000084,-78.73379
12,[H]Oc1nc([H])nn1[H]>>[H]Oc1nnc([H])n1[H],58.54008,6.80657
12,[H]Oc1nnc([H])n1[H]>>[H]Oc1nc([H])nn1[H],51.73351,-6.80657
13,[H]Oc1nc([H])nn1[H]>>[H][N-][N+]1=C(O[H])N=C1[H],110.29537,102.41738
13,[H][N-][N+]1=C(O[H])N=C1[H]>>[H]Oc1nc([H])nn1[H],7.877990000000011,-102.41738
14,[H]Oc1nc([H])nn1[H]>>[H]O[C@]1([H])N=NC([H])=N1,58.54715,36.16531
14,[H]O[C@]1([H])N=NC([H])=N1>>[H]Oc1nc([H])nn1[H],22.381840000000004,-36.16531
15,[H]Oc1nc([H])nn1[H]>>[H]Oc1nc([H])n([H])n1,48.00114,0.76804
15,[H]Oc1nc([H])n([H])n1>>[H]Oc1nc([H])nn1[H],47.2331,-0.76804
16,[H]Oc1nc([H])nn1[H]>>[H]N=C=NC(=N[H])O[H],75.62779,7.87437
16,[H]N=C=NC(=N[H])O[H]>>[H]Oc1nc([H])nn1[H],67.75342,-7.87437
17,[H]Oc1nc([H])nn1[H]>>[H]c1nn([H])c(=O)n1[H],43.97984,-5.55296
17,[H]c1nn([H])c(=O)n1[H]>>[H]Oc1nc([H])nn1[H],49.5328,5.55296
18,[H]Oc1nc([H])nn1[H]>>[H]/N=N/[C@@]1([H])N=C1O[H],109.01599,71.18995
18,[H]/N=N/[C@@]1([H])N=C1O[H]>>[H]Oc1nc([H])nn1[H],37.826040000000006,-71.18995
19,[H]Oc1nc([H])nn1[H]>>[H]C#[N+][C](O[H])N([H])[N-],121.78099,117.6565
19,[H]C#[N+][C](O[H])N([H])[N-]>>[H]Oc1nc([H])nn1[H],4.124490000000009,-117.6565
20,[H]Oc1nc([H])nn1[H]>>[H]C#[N+][N-][H].[H]OC#N,93.51989,86.2112
