rxn_smiles,dE0,dHrxn298
Cc1nnon1>>CC(N=O)=[N+]=[N-],48.61085,26.77621
CC(N=O)=[N+]=[N-]>>Cc1nnon1,21.83464,-26.77621
Cc1nnon1>>CN=C=NN=O,74.0298,28.79099
CN=C=NN=O>>Cc1nnon1,45.23881,-28.79099
COCCO>>C1COC1.O,97.422,12.6022
C1COC1.O>>COCCO,84.81980000000001,-12.6022
COCCO>>C1CO1.CO,75.25375,28.98589
C1CO1.CO>>COCCO,46.26786,-28.98589
COCCO>>CC=O.CO,72.16356,1.41779
CC=O.CO>>COCCO,70.74577000000002,-1.41779
COCCO>>C=COC.O,71.0891,8.33039
C=COC.O>>COCCO,62.75871,-8.33039
[N-]=[N+]=NC=O>>C#N.[N-]=[N+]=O,48.52271,9.02973
C#N.[N-]=[N+]=O>>[N-]=[N+]=NC=O,39.49298,-9.02973
C1C[C@H]2C[C@@H]1C2>>C[C@@H]1C[C]CC1,73.6466,53.58964
C[C@@H]1C[C]CC1>>C1C[C@H]2C[C@@H]1C2,20.056960000000004,-53.58964
C1C[C@H]2C[C@@H]1C2>>C=CCCC=C,62.05624,7.47231
C=CCCC=C>>C1C[C@H]2C[C@@H]1C2,54.58393,-7.47231
C1C[C@H]2C[C@@H]1C2>>C1=C[C@H]2C[C@H]2C1.[H][H],110.46106,23.57159
C1=C[C@H]2C[C@H]2C1.[H][H]>>C1C[C@H]2C[C@@H]1C2,86.88946999999999,-23.57159
C1C[C@H]2C[C@@H]1C2>>CCC1C[C]C1,81.42548000000002,78.73379
CCC1C[C]C1>>C1C[C@H]2C[C@@H]1C2,2.6916900000000084,-78.73379
Oc1ncn[nH]1>>Oc1nnc[nH]1,58.54008,6.80657
Oc1nnc[nH]1>>Oc1ncn[nH]1,51.733509999999995,-6.80657
Oc1ncn[nH]1>>[NH-][N+]1=C(O)N=C1,110.29537,102.41738
[NH-][N+]1=C(O)N=C1>>Oc1ncn[nH]1,7.877989999999982,-102.41738
Oc1ncn[nH]1>>O[C@H]1N=CN=N1,58.54715,36.16531
O[C@H]1N=CN=N1>>Oc1ncn[nH]1,22.381840000000004,-36.16531
Oc1ncn[nH]1>>Oc1nc[nH]n1,48.00114,0.76804
Oc1nc[nH]n1>>Oc1ncn[nH]1,47.2331,-0.76804
Oc1ncn[nH]1>>N=C=NC(=N)O,75.62779,7.87437
N=C=NC(=N)O>>Oc1ncn[nH]1,67.75341999999999,-7.87437
Oc1ncn[nH]1>>O=c1[nH]cn[nH]1,43.97984,-5.55296
O=c1[nH]cn[nH]1>>Oc1ncn[nH]1,49.5328,5.55296
Oc1ncn[nH]1>>[H]/N=N/[C@H]1N=C1O,109.01599,71.18995
[H]/N=N/[C@H]1N=C1O>>Oc1ncn[nH]1,37.82603999999999,-71.18995
Oc1ncn[nH]1>>C#[N+][C](O)N[N-],121.78099,117.6565
C#[N+][C](O)N[N-]>>Oc1ncn[nH]1,4.1244899999999936,-117.6565
Oc1ncn[nH]1>>C#[N+][NH-].N#CO,93.51989,86.2112
C#[N+][NH-].N#CO>>Oc1ncn[nH]1,7.308689999999999,-86.2112
Oc1ncn[nH]1>>[H]/N=C(\O)N1C=N1,85.91394,64.97955999999999
[H]/N=C(\O)N1C=N1>>Oc1ncn[nH]1,20.934380000000004,-64.97955999999999
OC1CCCC1>>C1=CCCC1.O,63.20476,8.96873
C1=CCCC1.O>>OC1CCCC1,54.23603000000001,-8.96873
OC1CCCC1>>C=C.C=CCO,107.75396,41.1194
C=C.C=CCO>>OC1CCCC1,66.63456000000001,-41.1194
OC1CCCC1>>C=CCCC=O.[H][H],88.47536,34.5595
C=CCCC=O.[H][H]>>OC1CCCC1,53.91586,-34.5595
OC1CCCC1>>C=C.C=C(C)O,106.66318,30.54774
C=C.C=C(C)O>>OC1CCCC1,76.11544,-30.54774
OC1CCCC1>>C1C[C@@H]2C[C@H]12.O,96.254,38.33502
C1C[C@@H]2C[C@H]12.O>>OC1CCCC1,57.91897999999999,-38.33502
OC1CCCC1>>C/C=C\O.C=C,108.59933,35.45933
C/C=C\O.C=C>>OC1CCCC1,73.14000000000001,-35.45933
OC1CCCC1>>O[C@@H]1C=CCC1.[H][H],106.1555,27.69671
O[C@@H]1C=CCC1.[H][H]>>OC1CCCC1,78.45879000000002,-27.69671
OC1CCCC1>>CCC1(O)CC1,116.28447,22.09724
CCC1(O)CC1>>OC1CCCC1,94.18723,-22.09724
OC1CCCC1>>OC1=CCCC1.[H][H],119.7306,24.6623
OC1=CCCC1.[H][H]>>OC1CCCC1,95.0683,-24.6623
OC1CCCC1>>CCCCC=O,79.0211,4.9259900000000005
CCCCC=O>>OC1CCCC1,74.09510999999999,-4.9259900000000005
OC1CCCC1>>O=CC1CCC1.[H][H],103.78744,37.89899000000001
O=CC1CCC1.[H][H]>>OC1CCCC1,65.88845,-37.89899000000001
OC1CCCC1>>OC1CC=CC1.[H][H],115.98983,27.34839
OC1CC=CC1.[H][H]>>OC1CCCC1,88.64143999999997,-27.34839
OC1CCCC1>>[CH]CCCCO,115.71548,93.92966
[CH]CCCCO>>OC1CCCC1,21.78582,-93.92966
OC1CCCC1>>CC[C@H]1C[C@H]1O,119.42386,25.24129
CC[C@H]1C[C@H]1O>>OC1CCCC1,94.18257,-25.24129
OC1CCCC1>>C1CCC1.[CH]O,137.06258,94.54446
C1CCC1.[CH]O>>OC1CCCC1,42.51812,-94.54446
OC1CCCC1>>C=CCCCO,102.18914,17.67782
C=CCCCO>>OC1CCCC1,84.51132000000001,-17.67782
C/N=C/NC=O>>C#N.[H]/N=C\OC,107.32878999999998,27.66135
C#N.[H]/N=C\OC>>C/N=C/NC=O,79.66743999999998,-27.66135
C/N=C/NC=O>>C/N=C/[NH+]=[C-]O,72.22379000000002,35.16605
C/N=C/[NH+]=[C-]O>>C/N=C/NC=O,37.05774000000001,-35.16605
C/N=C/NC=O>>C[NH+]=[C-]NC=O,70.69436,24.29205
C[NH+]=[C-]NC=O>>C/N=C/NC=O,46.40231,-24.29205
C/N=C/NC=O>>[H]/N=C/O/C=N\C,50.38201,18.26868
[H]/N=C/O/C=N\C>>C/N=C/NC=O,32.113330000000005,-18.26868
C/N=C/NC=O>>[C-]#[O+].[H]/N=C/NC,43.51054,10.03762
[C-]#[O+].[H]/N=C/NC>>C/N=C/NC=O,33.47292,-10.03762
C/N=C/NC=O>>C#N.CNC=O,98.04276,9.92967
C#N.CNC=O>>C/N=C/NC=O,88.11309,-9.92967
C/N=C/NC=O>>CN1O[C@H]2N[C@H]21,116.69467,88.90586
CN1O[C@H]2N[C@H]21>>C/N=C/NC=O,27.78881,-88.90586
C/N=C/NC=O>>[CH2-][NH+]=CNC=O,78.03220999999998,41.98368
[CH2-][NH+]=CNC=O>>C/N=C/NC=O,36.04852999999999,-41.98368
