rxn_smiles,dE0,dHrxn298
[H]C([H])([H])c1nnon1>>[H]C([H])([H])C(N=O)=[N+]=[N-],48.61085,26.77621
[H]C([H])([H])C(N=O)=[N+]=[N-]>>[H]C([H])([H])c1nnon1,21.83464,-26.77621
[H]C([H])([H])c1nnon1>>[H]C([H])([H])N=C=NN=O,74.0298,28.79099
[H]C([H])([H])N=C=NN=O>>[H]C([H])([H])c1nnon1,45.23881,-28.79099
[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C1([H])OC([H])([H])C1([H])[H].[H]O[H],97.422,12.6022
[H]C1([H])OC([H])([H])C1([H])[H].[H]O[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],84.81980000000001,-12.6022
[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C1([H])OC1([H])[H].[H]OC([H])([H])[H],75.25375,28.98589
[H]C1([H])OC1([H])[H].[H]OC([H])([H])[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],46.26786,-28.98589
[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C(=O)C([H])([H])[H].[H]OC([H])([H])[H],72.16356,1.41779
[H]C(=O)C([H])([H])[H].[H]OC([H])([H])[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],70.74577000000002,-1.41779
[H]OC([H])([H])C([H])([H])OC([H])([H])[H]>>[H]C([H])=C([H])OC([H])([H])[H].[H]O[H],71.0891,8.33039
[H]C([H])=C([H])OC([H])([H])[H].[H]O[H]>>[H]OC([H])([H])C([H])([H])OC([H])([H])[H],62.75871,-8.33039
[H]C(=O)N=[N+]=[N-]>>[H]C#N.[N-]=[N+]=O,48.52271,9.02973
[H]C#N.[N-]=[N+]=O>>[H]C(=O)N=[N+]=[N-],39.49298,-9.02973
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C1([H])[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H],73.6466,53.58964
[H]C1([H])[C]C([H])([H])[C@@]([H])(C([H])([H])[H])C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],20.056960000000004,-53.58964
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H],62.05624,7.47231
[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])=C([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],54.58393,-7.47231
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H].[H][H],110.46106,23.57159
[H]C1=C([H])[C@@]2([H])C([H])([H])[C@@]2([H])C1([H])[H].[H][H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],86.88946999999999,-23.57159
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H]>>[H]C([H])([H])C([H])([H])C1([H])C([H])([H])[C]C1([H])[H],81.42548000000002,78.73379
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])[C]C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@@]1([H])C2([H])[H],2.6916900000000084,-78.73379
[H]Oc1nc([H])nn1[H]>>[H]Oc1nnc([H])n1[H],58.54008,6.80657
[H]Oc1nnc([H])n1[H]>>[H]Oc1nc([H])nn1[H],51.733509999999995,-6.80657
[H]Oc1nc([H])nn1[H]>>[H][N-][N+]1=C(O[H])N=C1[H],110.29537,102.41738
[H][N-][N+]1=C(O[H])N=C1[H]>>[H]Oc1nc([H])nn1[H],7.877989999999982,-102.41738
[H]Oc1nc([H])nn1[H]>>[H]O[C@]1([H])N=NC([H])=N1,58.54715,36.16531
[H]O[C@]1([H])N=NC([H])=N1>>[H]Oc1nc([H])nn1[H],22.381840000000004,-36.16531
[H]Oc1nc([H])nn1[H]>>[H]Oc1nc([H])n([H])n1,48.00114,0.76804
[H]Oc1nc([H])n([H])n1>>[H]Oc1nc([H])nn1[H],47.2331,-0.76804
[H]Oc1nc([H])nn1[H]>>[H]N=C=NC(=N[H])O[H],75.62779,7.87437
[H]N=C=NC(=N[H])O[H]>>[H]Oc1nc([H])nn1[H],67.75341999999999,-7.87437
[H]Oc1nc([H])nn1[H]>>[H]c1nn([H])c(=O)n1[H],43.97984,-5.55296
[H]c1nn([H])c(=O)n1[H]>>[H]Oc1nc([H])nn1[H],49.5328,5.55296
[H]Oc1nc([H])nn1[H]>>[H]/N=N/[C@@]1([H])N=C1O[H],109.01599,71.18995
[H]/N=N/[C@@]1([H])N=C1O[H]>>[H]Oc1nc([H])nn1[H],37.82603999999999,-71.18995
[H]Oc1nc([H])nn1[H]>>[H]C#[N+][C](O[H])N([H])[N-],121.78099,117.6565
[H]C#[N+][C](O[H])N([H])[N-]>>[H]Oc1nc([H])nn1[H],4.1244899999999936,-117.6565
[H]Oc1nc([H])nn1[H]>>[H]C#[N+][N-][H].[H]OC#N,93.51989,86.2112
[H]C#[N+][N-][H].[H]OC#N>>[H]Oc1nc([H])nn1[H],7.308689999999999,-86.2112
[H]Oc1nc([H])nn1[H]>>[H]/N=C(\O[H])N1N=C1[H],85.91394,64.97955999999999
[H]/N=C(\O[H])N1N=C1[H]>>[H]Oc1nc([H])nn1[H],20.934380000000004,-64.97955999999999
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H]O[H],63.20476,8.96873
[H]C1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H]O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],54.23603000000001,-8.96873
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]OC([H])([H])C([H])=C([H])[H],107.75396,41.1194
[H]C([H])=C([H])[H].[H]OC([H])([H])C([H])=C([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],66.63456000000001,-41.1194
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])=C([H])[H].[H][H],88.47536,34.5595
[H]C(=O)C([H])([H])C([H])([H])C([H])=C([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],53.91586,-34.5595
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]OC(=C([H])[H])C([H])([H])[H],106.66318,30.54774
[H]C([H])=C([H])[H].[H]OC(=C([H])[H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],76.11544,-30.54774
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H].[H]O[H],96.254,38.33502
[H]C1([H])C([H])([H])[C@]2([H])C([H])([H])[C@]12[H].[H]O[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],57.91897999999999,-38.33502
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C([H])=C([H])[H].[H]O/C([H])=C(/[H])C([H])([H])[H],108.59933,35.45933
[H]C([H])=C([H])[H].[H]O/C([H])=C(/[H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],73.14000000000001,-35.45933
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]O[C@]1([H])C([H])=C([H])C([H])([H])C1([H])[H].[H][H],106.1555,27.69671
[H]O[C@]1([H])C([H])=C([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],78.45879000000002,-27.69671
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H],116.28447,22.09724
[H]OC1(C([H])([H])C([H])([H])[H])C([H])([H])C1([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],94.18723,-22.09724
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]OC1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H][H],119.7306,24.6623
[H]OC1=C([H])C([H])([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],95.0683,-24.6623
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],79.0211,4.9259900000000005
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],74.09510999999999,-4.9259900000000005
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]>>[H]C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][H],103.78744,37.89899000000001
[H]C(=O)C1([H])C([H])([H])C([H])([H])C1([H])[H].[H][H]>>[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],65.88845,-37.89899000000001
